imdb_title_id,original_title,year,date_published,genre,duration,country,language,imdb_score,budget,worldwide_gross_income
tt0026276,The Devil Is a Woman,1935,1935-11-09,"Comedy, Drama, Romance",79,USA,"English, Spanish",7.0,$ 800000,$ 2375
tt0026424,The Good Fairy,1935,1935-02-18,"Comedy, Romance",98,USA,English,7.5,,$ 7478
tt0026778,A Night at the Opera,1935,1938-10-11,"Comedy, Music, Musical",96,USA,"English, Italian",7.9,,$ 3956700
tt0026942,Roberta,1935,1935-03-08,"Comedy, Musical, Romance",106,USA,"English, French, Russian",7.1,$ 610000,$ 2493
tt0027387,Born to Dance,1936,1936-11-27,"Musical, Comedy",106,USA,English,6.7,,$ 941774
tt0027407,Bullets or Ballots,1936,1936-06-06,"Crime, Drama, Film-Noir",82,USA,English,7.0,,$ 8605
tt0027478,Le crime de Monsieur Lange,1936,1936-01-24,"Comedy, Crime, Drama",80,France,French,7.3,,$ 38002
tt0027489,César,1936,1936-11-11,Drama,168,France,French,7.6,,$ 8262
tt0027652,Fury,1936,1938-05-20,"Crime, Drama, Film-Noir",92,USA,English,7.9,,$ 11712
tt0027672,Gion no shimai,1936,1936-10-15,Drama,69,Japan,Japanese,7.5,,$ 17807
tt0027977,Modern Times,1936,1937-03-12,"Comedy, Drama, Family",87,USA,English,8.5,$ 1500000,$ 457688
tt0027978,Mon père avait raison,1936,1936-11-27,Comedy,81,France,French,6.6,,$ 3337
tt0028333,Swing Time,1936,1938-02-24,"Comedy, Musical, Romance",103,USA,"English, French",7.6,$ 886000,$ 4961
tt0028950,La grande illusion,1937,1947-12-10,"Drama, War",113,France,"French, German, English, Russian",8.1,,$ 19821
tt0029322,Nothing Sacred,1937,1937-11-26,"Comedy, Drama, Fantasy",77,USA,English,6.9,$ 1831927,$ 3765
tt0029453,Pépé le Moko,1937,1937-10-22,"Crime, Drama, Romance",94,France,"French, Arabic",7.7,$ 60000,$ 155895
tt0029546,Shall We Dance,1937,1937-10-27,"Comedy, Musical, Romance",109,USA,"English, French",7.5,$ 991000,$ 6662
tt0029583,Snow White and the Seven Dwarfs,1937,1938-11-30,"Animation, Family, Fantasy",83,USA,English,7.6,$ 1499000,$ 184925486
tt0029850,Aleksandr Nevskiy,1938,1960-05-01,"Action, Biography, Drama",112,Soviet Union,Russian,7.6,,$ 2226
tt0029947,Bringing Up Baby,1938,1938-08-27,"Comedy, Family, Romance",102,USA,English,7.9,$ 1073000,$ 11180
tt0030127,La femme du boulanger,1938,1938-09-07,"Comedy, Drama",133,France,French,7.5,,$ 4991
tt0030241,Holiday,1938,1938-11-16,"Comedy, Romance",95,USA,English,7.8,,$ 14486
tt0030341,The Lady Vanishes,1938,1939-01-02,"Mystery, Thriller",96,UK,"English, German, French, Italian",7.8,,$ 39776
tt0030643,Le quai des brumes,1938,1943-03-22,"Crime, Drama, Romance",91,France,French,7.8,,$ 39623
