original_title,year,genre,duration,country,language,imdb_score,worldwide_gross_income,tomatometer_rating
Psychopathia Sexualis,2006,Drama,102,USA,English,38.0,0.004012,23.0
En soap,2006,"Comedy, Drama",104,"Denmark, Sweden","Danish, English",65.0,0.19202999999999998,55.0
Antares,2004,"Drama, Romance",105,Austria,"German, Croatian, English",61.0,0.06491,0.0
Doom,2005,"Action, Horror, Sci-Fi",105,"UK, Czech Republic, Germany, USA","English, Japanese",52.0,58.072119,19.0
Find Me Guilty,2006,"Biography, Comedy, Crime",125,"Germany, USA",English,70.0,2.636637,62.0
In the Land of Women,2007,"Comedy, Drama, Romance",97,USA,English,64.0,17.562071,44.0
The Kite Runner,2007,Drama,128,"USA, China, UK, Afghanistan","Dari, English, Pushto, Russian, Urdu",76.0,75.011029,65.0
The Marine,2006,"Action, Comedy, Drama",92,USA,"English, Arabic",47.0,22.165608,20.0
Mr. Woodcock,2007,"Comedy, Romance, Sport",87,USA,English,51.0,33.6832,14.0
Nine Lives,2005,Drama,115,"USA, Mexico","English, Spanish, American Sign Language",67.0,1.591523,75.0
A Prairie Home Companion,2006,"Comedy, Drama, Music",105,USA,"English, Norwegian",67.0,25.986497000000004,82.0
Stranger Than Fiction,2006,"Comedy, Drama, Fantasy",113,USA,English,75.0,53.653224,73.0
The Tale of Despereaux,2008,"Animation, Adventure, Comedy",93,"UK, USA",English,61.0,86.95728,57.0
The Stanford Prison Experiment,2015,"Biography, Drama, History",122,USA,English,69.0,0.663114,84.0
The Texas Chainsaw Massacre: The Beginning,2006,"Horror, Thriller",91,USA,English,58.0,51.764405999999994,13.0
Veer-Zaara,2004,"Drama, Family, Musical",192,India,Hindi,78.0,6.887220999999999,92.0
Infamous,2006,"Biography, Crime, Drama",110,USA,English,70.0,2.689799,74.0
Man About Town,2006,"Comedy, Drama",96,USA,English,55.0,1.1651859999999998,38.0
Opal Dream,2006,"Drama, Family",85,"Australia, UK",English,66.0,0.144964,69.0
Domino,2005,"Action, Biography, Crime",127,"France, USA, UK",English,59.0,22.984628,18.0
Street Kings,2008,"Action, Crime, Drama",109,USA,"English, Turkish",68.0,66.476363,36.0
Control,2007,"Biography, Drama, Music",122,"UK, USA, Australia, Japan, France",English,77.0,8.159507999999999,88.0
Zerophilia,2005,"Comedy, Romance",90,USA,English,61.0,0.007763000000000001,25.0
Gridiron Gang,2006,"Biography, Crime, Drama",125,USA,English,69.0,41.480851,42.0
Mrs. Palfrey at the Claremont,2005,"Comedy, Drama",108,"UK, USA",English,76.0,4.009677,70.0
The Proposition,2005,"Crime, Drama, Western",104,"Australia, UK","English, Aboriginal",73.0,5.048693,85.0
Red Eye,2005,Thriller,85,USA,"English, Russian",64.0,96.258201,79.0
The Curious Case of Benjamin Button,2008,"Drama, Fantasy, Romance",166,USA,"English, Russian, French",78.0,335.802786,72.0
Big Momma's House 2,2006,"Comedy, Crime",99,USA,English,47.0,141.522961,5.0
Diary of a Mad Black Woman,2005,"Comedy, Drama, Romance",116,USA,English,58.0,50.652203,16.0
Fur: An Imaginary Portrait of Diane Arbus,2006,"Biography, Drama, Romance",122,USA,English,65.0,2.312717,32.0
Hatchet,2006,"Comedy, Horror, Thriller",93,USA,English,57.0,0.20855,55.0
Marie Antoinette,2006,"Biography, Drama, History",123,"USA, France, Japan","English, Latin, French",64.0,60.91718899999999,57.0
Are We Done Yet?,2007,"Comedy, Family, Fantasy",92,"Canada, USA",English,42.0,58.388068,8.0
Music Within,2007,"Biography, Comedy, Drama",94,USA,English,73.0,0.187581,33.0
The Oh in Ohio,2006,"Comedy, Drama, Romance",88,USA,English,55.0,0.6481830000000001,23.0
Sherrybaby,2006,Drama,96,USA,English,66.0,0.622806,75.0
Surf's Up,2007,"Animation, Comedy, Family",85,USA,English,67.0,152.005713,79.0
Charlie Bartlett,2007,"Comedy, Drama, Romance",97,"USA, Canada",English,70.0,5.254986000000001,57.0
Flushed Away,2006,"Animation, Adventure, Comedy",85,"UK, USA",English,66.0,178.281554,73.0
Clerks II,2006,Comedy,97,USA,English,73.0,26.986174,64.0
Balls of Fury,2007,"Comedy, Crime, Sport",90,USA,"English, Mandarin",53.0,41.739765999999996,21.0
Candy,2006,"Drama, Romance",116,Australia,English,72.0,2.105096,47.0
Karla,2006,"Crime, Drama, Thriller",99,USA,English,55.0,0.130416,0.0
Employee of the Month,2006,"Comedy, Romance",103,USA,English,55.0,38.395414,20.0
Game 6,2005,"Comedy, Drama, Sport",87,USA,"English, Mandarin, Hindi",58.0,0.129664,61.0
Get Smart,2008,"Action, Adventure, Comedy",110,USA,"English, Russian, Punjabi, Arabic",65.0,230.685453,50.0
Hot Fuzz,2007,"Action, Comedy, Mystery",121,"UK, France",English,78.0,80.743363,91.0
Just Like Heaven,2005,"Comedy, Drama, Fantasy",95,USA,"English, Spanish, Mandarin",67.0,102.854431,55.0
Lucky Number Slevin,2006,"Crime, Drama, Mystery",110,"Germany, UK, USA, Canada",English,77.0,56.308881,52.0
Noise,2007,"Comedy, Crime, Drama",92,USA,"English, Russian",62.0,0.016933999999999998,58.0
Noise,2007,"Comedy, Crime, Drama",92,USA,"English, Russian",62.0,0.016933999999999998,83.0
Noise,2007,"Crime, Drama, Mystery",108,Australia,English,67.0,0.800755,58.0
Noise,2007,"Crime, Drama, Mystery",108,Australia,English,67.0,0.800755,83.0
Run Fatboy Run,2007,"Comedy, Romance, Sport",100,"UK, USA",English,66.0,33.478921,47.0
The Messengers,2007,"Horror, Thriller",90,USA,English,54.0,55.060212,12.0
"Sorry, Haters",2005,"Drama, Thriller",83,USA,"English, Arabic, French",62.0,0.007129000000000001,37.0
Trailer Park Boys: The Movie,2006,"Comedy, Crime",95,Canada,English,72.0,3.876456,57.0
Superhero Movie,2008,"Action, Comedy, Sci-Fi",75,USA,English,45.0,71.5713,17.0
In the Mix,2005,"Comedy, Crime, Drama",95,USA,English,28.0,10.223896,13.0
Stoned,2005,"Biography, Drama, Music",102,UK,English,58.0,0.18716,14.0
August Rush,2007,"Drama, Music",114,USA,English,75.0,66.122026,37.0
Confetti,2006,"Comedy, Music, Romance",100,UK,English,57.0,4.903131,57.0
Dinner for Schmucks,2010,Comedy,114,USA,English,59.0,86.855739,42.0
Failure to Launch,2006,"Comedy, Romance",97,USA,English,56.0,130.22415800000002,23.0
The Great Debaters,2007,"Biography, Drama, Romance",126,USA,English,75.0,30.271555999999997,79.0
Hairspray,2007,"Comedy, Drama, Musical",117,"USA, UK, Canada",English,66.0,203.552922,91.0
The Invasion,2007,"Sci-Fi, Thriller",99,"USA, Australia","English, Russian",59.0,40.170558,19.0
The Lookout,2007,"Crime, Drama, Thriller",99,USA,English,70.0,5.371181,87.0
Hollywoodland,2006,"Biography, Crime, Drama",126,USA,"English, Spanish",65.0,16.800438,68.0
Venom,2005,Horror,87,USA,English,46.0,0.8817790000000001,11.0
The Second Chance,2006,Drama,102,USA,English,66.0,0.463542,44.0
Splinter,2006,"Crime, Thriller",90,USA,English,48.0,0.010497,43.0
The Thing About My Folks,2005,"Comedy, Drama",96,USA,English,65.0,0.8233370000000001,45.0
The A-Team,2010,"Action, Adventure, Thriller",117,"USA, UK","English, Spanish, French, Swahili, German",67.0,177.238796,48.0
The Ant Bully,2006,"Animation, Adventure, Comedy",88,USA,English,58.0,55.181129,62.0
Aquamarine,2006,"Comedy, Family, Fantasy",110,USA,English,53.0,22.989957,51.0
Ethan Mao,2004,"Crime, Drama, Thriller",87,"Canada, USA",English,60.0,0.016444,36.0
Four Brothers,2005,"Action, Crime, Drama",109,USA,English,68.0,92.374674,52.0
Little Man,2006,"Comedy, Crime",98,"USA, Canada","English, Estonian",44.0,104.003322,12.0
Get Rich or Die Tryin',2005,"Biography, Crime, Drama",117,"USA, Canada","English, Spanish",54.0,46.563961,16.0
Miami Vice,2006,"Action, Crime, Thriller",132,USA,"English, Spanish",60.0,164.231296,47.0
Stick It,2006,"Comedy, Drama, Sport",103,"Germany, USA",English,64.0,31.976848,31.0
The Women,2008,"Comedy, Drama",114,USA,English,50.0,50.007546000000005,14.0
Everyone's Hero,2006,"Animation, Adventure, Comedy",87,"Canada, USA",English,57.0,16.627188,42.0
Basic Instinct 2,2006,"Drama, Mystery, Thriller",114,"UK, Germany, Spain, USA",English,43.0,38.629478,6.0
Role Models,2008,Comedy,99,"Germany, USA",English,68.0,92.649419,77.0
The Possession,2012,"Horror, Mystery, Thriller",92,"USA, Canada",English,59.0,85.446075,39.0
The Kingdom,2007,"Action, Drama, Thriller",110,"USA, Germany, United Arab Emirates","English, Arabic",70.0,87.019158,51.0
P.S. I Love You,2007,"Comedy, Drama, Romance",126,USA,English,70.0,156.835339,25.0
Resident Evil: Extinction,2007,"Action, Horror, Sci-Fi",94,"France, Australia, Germany, UK, USA, Mexico, Canada",English,63.0,147.71783299999998,24.0
Fantastic Mr. Fox,2009,"Animation, Adventure, Comedy",87,"USA, UK","English, French",79.0,46.472606,93.0
Flannel Pajamas,2006,Romance,124,USA,English,59.0,0.123301,51.0
The Fog,2005,"Horror, Mystery",100,"USA, France",English,37.0,46.201432,4.0
Saw II,2005,"Horror, Mystery",93,"Canada, USA",English,66.0,147.748505,37.0
Krrish,2006,"Action, Sci-Fi",185,India,"Hindi, English, Cantonese, Tamil",64.0,18.041249999999998,88.0
Real Steel,2011,"Action, Drama, Sci-Fi",127,"USA, India","English, Ukrainian",71.0,299.268508,60.0
The Grudge 2,2006,"Horror, Thriller",102,"USA, Japan","English, Japanese",51.0,70.711175,11.0
Land of the Blind,2006,"Drama, Thriller",110,"UK, USA",English,65.0,0.025116,17.0
Material Girls,2006,"Comedy, Family, Romance",98,USA,English,40.0,16.907725,4.0
The Namesake,2006,Drama,122,"USA, India","English, Hindi, Bengali, French",75.0,20.354321,85.0
The Return,2006,"Horror, Mystery, Thriller",85,USA,English,47.0,11.994195000000001,16.0
The Return,2006,"Comedy, Drama, Romance",105,USA,English,49.0,0.10217099999999998,16.0
The Last Kiss,2006,"Comedy, Drama, Romance",115,"USA, Canada",English,64.0,15.852401,46.0
Undiscovered,2005,"Comedy, Music, Romance",97,"Germany, USA","English, Japanese, Spanish",43.0,1.082784,8.0
The Giver,2014,"Drama, Romance, Sci-Fi",97,"South Africa, Canada, USA",English,65.0,66.980456,35.0
The Gravedancers,2006,Horror,95,USA,English,55.0,0.47853500000000004,100.0
The Invisible,2007,"Crime, Drama, Fantasy",102,"USA, Sweden, South Africa",English,62.0,26.810113,20.0
Next,2007,"Action, Sci-Fi, Thriller",96,USA,"English, French, German, Serbian",62.0,77.621983,28.0
Toy Story 3,2010,"Animation, Adventure, Comedy",103,USA,"English, Spanish",83.0,1066.969703,98.0
G-Force,2009,"Animation, Action, Adventure",88,USA,"Spanish, English",51.0,292.817841,22.0
Good,2008,"Drama, Romance, War",92,"UK, Germany, Hungary, Cayman Islands","English, German, French",62.0,1.5520239999999998,32.0
The Motel,2005,"Comedy, Drama",75,USA,"Cantonese, English",67.0,0.051539999999999996,88.0
The Puffy Chair,2005,"Comedy, Drama, Romance",85,USA,English,65.0,0.19525399999999998,77.0
The Queen,2006,"Biography, Drama, History",103,"UK, USA, France, Italy","English, German, French",73.0,123.384128,96.0
Alita: Battle Angel,2019,"Action, Adventure, Sci-Fi",122,"USA, Japan, Canada","English, Spanish",73.0,404.852543,61.0
See No Evil,2006,"Action, Horror, Thriller",84,"USA, Australia",English,51.0,18.707966,9.0
Catch a Fire,2006,"Biography, Drama, History",101,"France, UK, South Africa, USA","English, Afrikaans, Zulu, Portuguese",67.0,5.710236,75.0
Something New,2006,"Comedy, Drama, Romance",99,USA,"English, Spanish",67.0,11.483669,61.0
Akeelah and the Bee,2006,"Drama, Family",112,USA,English,73.0,18.948425,85.0
Behind the Mask: The Rise of Leslie Vernon,2006,"Comedy, Horror, Thriller",92,USA,English,67.0,0.069136,76.0
The Benchwarmers,2006,"Comedy, Sport",85,USA,"English, Spanish",55.0,64.962629,13.0
Peaceful Warrior,2006,"Drama, Romance, Sport",120,"USA, Germany",English,73.0,4.69344,25.0
Side Effects,2005,"Comedy, Drama, Romance",90,USA,English,49.0,0.002216,11.0
Terminator Salvation,2009,"Action, Adventure, Sci-Fi",115,"USA, Germany, UK, Italy","English, Italian",65.0,371.353001,33.0
Fat Girls,2006,"Comedy, Drama",82,USA,English,48.0,0.011204,32.0
Fanaa,2006,"Drama, Romance",168,India,"Hindi, Indonesian, Italian",72.0,22.181516,100.0
Slither,2006,"Comedy, Horror, Sci-Fi",95,"Canada, USA, UK",English,64.0,12.834935999999999,86.0
Shutter,2004,"Horror, Mystery, Thriller",97,Thailand,Thai,71.0,6.989456,59.0
The Bourne Ultimatum,2007,"Action, Mystery, Thriller",115,"USA, Germany, France, Spain","English, French, Arabic, Russian, Spanish",80.0,444.10003500000005,92.0
Gracie,2007,"Biography, Drama, Sport",95,USA,English,61.0,3.8265680000000004,61.0
Kung Fu Panda,2008,"Animation, Action, Adventure",92,USA,English,75.0,631.746197,87.0
Lonely Hearts,2006,"Biography, Crime, Drama",108,"Germany, USA",English,64.0,2.520835,47.0
Stay Alive,2006,"Fantasy, Horror, Mystery",85,USA,English,51.0,27.298695,10.0
Volver,2006,"Comedy, Drama",121,Spain,Spanish,76.0,85.585177,91.0
Beowulf,2007,"Animation, Action, Adventure",115,"USA, UK","English, Old English",62.0,196.393745,71.0
Lincoln,2012,"Biography, Drama, History",150,"USA, India",English,73.0,275.29345,89.0
Vantage Point,2008,"Action, Crime, Drama",90,"USA, Mexico","English, Spanish",66.0,152.03988199999998,34.0
"Yours, Mine & Ours",2005,"Comedy, Family, Fantasy",88,USA,English,55.0,72.662923,6.0
Another Gay Movie,2006,"Comedy, Romance",92,USA,English,49.0,0.745327,40.0
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,Comedy,84,"USA, UK","English, Romanian, Hebrew, Polish, Armenian",73.0,262.552893,91.0
The Condemned,2007,"Action, Crime, Thriller",114,USA,"Portuguese, English, Spanish, German",60.0,8.642858,15.0
Dreamgirls,2006,"Drama, Music, Musical",130,USA,English,65.0,155.43033499999999,78.0
Edmond,2005,"Drama, Thriller",82,USA,English,62.0,0.243524,47.0
Film Geek,2005,Comedy,78,USA,English,61.0,0.017341000000000002,64.0
The Illusionist,2006,"Drama, Fantasy, History",110,"USA, Czech Republic",English,76.0,87.89238800000001,74.0
Killshot,2008,"Action, Crime, Drama",95,USA,English,60.0,2.961647,33.0
The Sentinel,2006,"Action, Crime, Thriller",108,USA,English,61.0,78.810595,35.0
The Assassination of Jesse James by the Coward Robert Ford,2007,"Biography, Crime, Drama",160,"USA, Canada, UK","English, Danish",75.0,15.001776000000001,77.0
Zodiac,2007,"Crime, Drama, Mystery",157,USA,English,77.0,84.785914,89.0
Moving McAllister,2007,"Adventure, Comedy, Romance",89,USA,English,53.0,0.042538,10.0
The Reaping,2007,"Horror, Thriller",99,USA,"English, Spanish",56.0,62.771059,8.0
Paradise Now,2005,"Crime, Drama, Thriller",91,"Palestine, France, Germany, Netherlands, Israel","Arabic, English",74.0,3.5799019999999997,89.0
Across the Universe,2007,"Drama, Fantasy, History",133,"USA, UK",English,73.0,29.625761,53.0
Blades of Glory,2007,"Comedy, Sport",93,USA,"English, Japanese",63.0,145.710347,70.0
The Contract,2006,"Action, Crime, Drama",96,"Germany, USA",English,56.0,5.5492,0.0
Disgrace,2008,Drama,119,"Australia, South Africa","English, Xhosa, Afrikaans, Zulu",66.0,2.551307,83.0
Invincible,2006,"Biography, Drama, Sport",105,USA,English,71.0,58.480827999999995,72.0
Pathfinder,2007,"Action, Adventure, Drama",99,"USA, Canada","English, Icelandic",54.0,30.984582999999997,10.0
Scott Pilgrim vs. the World,2010,"Action, Comedy, Fantasy",112,"USA, UK, Canada, Japan",English,75.0,47.664559000000004,82.0
Take the Lead,2006,"Drama, Music",118,USA,English,66.0,66.50009,44.0
Civic Duty,2006,"Drama, Thriller",98,"UK, USA, Canada","English, Arabic",62.0,0.108187,56.0
Deal,2008,"Comedy, Drama, Thriller",85,USA,English,54.0,0.085076,3.0
Driving Lessons,2006,"Comedy, Drama",98,UK,English,67.0,1.297553,48.0
Nightwatching,2007,"Biography, Drama, History",134,"UK, Poland, Canada, Netherlands",English,65.0,0.6985439999999999,85.0
The Painted Veil,2006,"Drama, Romance",125,"China, USA, Canada","English, Mandarin, French",75.0,26.910847,74.0
Knowing,2009,"Action, Drama, Mystery",121,"USA, UK, Australia, China",English,62.0,183.658498,33.0
A Bird of the Air,2011,"Drama, Romance",108,USA,English,66.0,0.010152,30.0
The Night Listener,2006,"Crime, Drama, Horror",91,USA,English,59.0,10.639686000000001,40.0
Shazam!,2019,"Action, Adventure, Comedy",132,"USA, Canada","English, Spanish",71.0,365.971656,90.0
Sunshine,2007,"Sci-Fi, Thriller",107,"UK, USA",English,72.0,34.80636,76.0
Hancock,2008,"Action, Fantasy",92,USA,"English, Japanese, Vietnamese",64.0,629.443428,41.0
Two Weeks,2006,"Comedy, Drama",102,USA,English,64.0,0.047986,19.0
Bunty Aur Babli,2005,"Comedy, Drama, Romance",170,India,"Hindi, English",62.0,3.370142,83.0
Puss in Boots,2011,"Animation, Adventure, Comedy",90,USA,"English, Spanish",66.0,554.987477,86.0
Eragon,2006,"Action, Adventure, Family",104,"USA, UK, Hungary",English,51.0,250.42551199999997,16.0
The Final Season,2007,"Drama, Sport",119,USA,English,66.0,1.159691,26.0
Little Miss Sunshine,2006,"Comedy, Drama",101,USA,English,78.0,101.058954,91.0
Dominion: Prequel to the Exorcist,2005,"Drama, Horror, Thriller",117,USA,English,52.0,0.25149499999999997,30.0
RV,2006,"Adventure, Comedy, Family",99,"UK, Germany, USA",English,55.0,87.52817300000001,23.0
Babel,2006,Drama,143,"France, USA, Mexico, Morocco, Japan","English, Arabic, Spanish, Japanese, Berber languages, French, Russian, Japanese Sign Language",74.0,135.33018199999998,69.0
Passengers,2008,"Drama, Fantasy, Horror",93,"USA, Canada",English,59.0,5.798973999999999,19.0
Jodhaa Akbar,2008,"Action, Drama, History",213,India,"Hindi, Urdu",76.0,26.935617999999998,75.0
Kabhi Alvida Naa Kehna,2006,"Drama, Romance",193,India,"Hindi, English",61.0,25.229168,58.0
16 Blocks,2006,"Action, Crime, Drama",102,"USA, Germany","English, Spanish",66.0,65.664721,56.0
Blood Diamond,2006,"Adventure, Drama, Thriller",143,"USA, Germany, UK","English, Mende, Afrikaans",80.0,171.720398,63.0
Punisher: War Zone,2008,"Action, Crime, Drama",103,"USA, Canada, Germany",English,59.0,10.161493,29.0
The Wicker Man,2006,"Horror, Mystery, Thriller",102,"USA, Mexico, Canada, Germany",English,37.0,38.80538,15.0
1408,2007,"Fantasy, Horror, Mystery",104,USA,English,68.0,132.963417,80.0
Cirque du Freak: The Vampire's Assistant,2009,"Action, Adventure, Fantasy",119,USA,"English, Spanish, French",58.0,39.291383,38.0
As You Like It,2006,"Drama, Comedy, Romance",127,"UK, USA",English,61.0,0.5631619999999999,36.0
The Gospel,2005,"Drama, Music",105,USA,English,49.0,15.778152,32.0
My Brother,2006,Drama,100,USA,English,55.0,0.23517700000000002,30.0
Quinceañera,2006,Drama,90,USA,"Spanish, English",69.0,2.522787,86.0
Wonder Woman,2017,"Action, Adventure, Fantasy",141,"USA, China, Hong Kong","English, German, Dutch, French, Spanish, Chinese, Greek, Ancient (to 1453), North American Indian",74.0,821.847012,93.0
Paheli,2005,"Comedy, Drama, Fantasy",140,India,Hindi,65.0,2.415975,57.0
Mind Game,2004,"Animation, Adventure, Comedy",103,Japan,Japanese,78.0,0.036613,100.0
Borderland,2007,"Crime, Horror, Thriller",105,"Mexico, USA","English, Spanish",57.0,0.703399,100.0
The Break-Up,2006,"Comedy, Drama, Romance",106,USA,English,58.0,205.66821,34.0
Cheaper by the Dozen 2,2005,"Adventure, Comedy, Family",94,"USA, Canada",English,55.0,130.15456799999998,6.0
Death Race,2008,"Action, Sci-Fi, Thriller",105,"USA, Germany, UK",English,64.0,76.014335,42.0
Gone Baby Gone,2007,"Crime, Drama, Mystery",114,USA,English,76.0,34.612443,94.0
Good Luck Chuck,2007,"Comedy, Romance",101,"USA, Canada",English,56.0,59.768494999999994,5.0
Lady in the Water,2006,"Drama, Fantasy, Mystery",110,USA,English,55.0,72.785169,25.0
Love and Other Disasters,2006,"Comedy, Drama, Romance",90,"France, UK","English, Spanish",62.0,6.369805,20.0
Race You to the Bottom,2005,"Drama, Romance",73,USA,English,50.0,0.005468,54.0
The Santa Clause 3: The Escape Clause,2006,"Adventure, Comedy, Family",97,"USA, Canada",English,47.0,110.76812199999999,17.0
The Time Traveler's Wife,2009,"Drama, Fantasy, Romance",107,USA,English,71.0,101.344412,38.0
Undoing,2006,"Crime, Drama, Thriller",90,"USA, South Korea",English,42.0,0.044999,31.0
Vacancy,2007,"Horror, Thriller",85,USA,English,62.0,35.442935,55.0
Never Been Thawed,2005,Comedy,87,USA,English,60.0,0.047219,58.0
Mr. Bean's Holiday,2007,"Comedy, Family",90,"UK, France, Germany, USA","English, French, Spanish, Russian",64.0,232.22590799999998,52.0
Beer League,2006,"Comedy, Sport",86,USA,English,59.0,0.47218499999999997,27.0
Hoot,2006,"Adventure, Comedy, Family",95,USA,English,55.0,8.224998,26.0
Snow Angels,2007,"Crime, Drama, Romance",107,USA,English,68.0,0.41440400000000005,68.0
TMNT,2007,"Animation, Action, Adventure",87,"Hong Kong, USA",English,62.0,95.80291600000001,35.0
42,2013,"Biography, Drama, Sport",128,USA,English,75.0,97.47070099999999,80.0
Black Christmas,2006,Horror,84,"USA, Canada",English,46.0,21.510851,14.0
Flyboys,2006,"Action, Drama, History",140,"UK, USA","English, French",65.0,17.858059,33.0
The Hills Have Eyes,2006,"Horror, Thriller",107,"USA, France, Romania",English,64.0,70.008952,52.0
Inside Man,2006,"Crime, Drama, Mystery",129,USA,"English, Albanian, Spanish",76.0,186.003591,86.0
Life of Pi,2012,"Adventure, Drama, Fantasy",127,"USA, Taiwan, UK, Canada","Arabic, English, Tamil, French, Japanese, Hindi, Chinese",79.0,609.016565,87.0
Pulse,2006,"Horror, Sci-Fi",90,"USA, Romania, South Africa",English,48.0,29.907684999999997,11.0
The Pursuit of Happyness,2006,"Biography, Drama",117,USA,"English, Cantonese",80.0,307.12762499999997,67.0
Requiem,2006,"Drama, Horror",93,Germany,German,69.0,0.513737,86.0
She's the Man,2006,"Comedy, Romance, Sport",105,"USA, Canada",English,63.0,57.194667,43.0
Let's Go to Prison,2006,"Comedy, Crime",84,USA,English,60.0,4.630045,12.0
Being Flynn,2012,Drama,102,USA,English,64.0,0.9831239999999999,51.0
Aqua Teen Hunger Force Colon Movie Film for Theaters,2007,"Animation, Action, Adventure",86,USA,English,67.0,5.5203679999999995,48.0
The Breed,2006,"Action, Comedy, Horror",91,"Germany, South Africa, USA",English,51.0,1.6899840000000002,27.0
The Crazies,2010,"Horror, Thriller",101,"USA, United Arab Emirates",English,65.0,54.806822999999994,70.0
How to Lose Friends & Alienate People,2008,"Biography, Comedy, Drama",110,UK,English,64.0,19.152009,37.0
The Last King of Scotland,2006,"Biography, Drama, History",123,"UK, Germany","English, French, German, Swahili",77.0,48.618191,87.0
Madea's Family Reunion,2006,"Comedy, Drama, Romance",107,USA,"English, Spanish",52.0,63.368939,26.0
Dead Silence,2007,"Horror, Mystery, Thriller",89,USA,English,62.0,22.382047,20.0
The Hunting Party,2007,"Adventure, Comedy, Drama",101,"USA, Croatia, Bosnia and Herzegovina","English, Serbo-Croatian, Serbian, Croatian",68.0,7.674033,55.0
Then She Found Me,2007,"Comedy, Drama, Romance",100,"USA, UK","English, Hebrew",60.0,8.443998,50.0
Australia,2008,"Adventure, Comedy, Drama",165,"UK, Australia, USA","English, Aboriginal, Chinese, Japanese",66.0,211.787511,55.0
When a Stranger Calls,2006,"Horror, Thriller",87,USA,English,51.0,67.062123,9.0
Black Irish,2007,Drama,95,USA,English,70.0,0.006900000000000001,31.0
The Equalizer,2014,"Action, Crime, Thriller",132,USA,"English, Russian, Spanish",72.0,192.330738,59.0
The Groomsmen,2006,"Comedy, Drama, Music",98,USA,English,61.0,0.81897,52.0
The Hitcher,2007,"Crime, Thriller",84,USA,English,56.0,25.399945,19.0
John Tucker Must Die,2006,"Comedy, Romance",89,"USA, Canada","English, Japanese",58.0,68.844775,27.0
Waist Deep,2006,"Action, Crime, Drama",97,USA,English,59.0,21.353303,28.0
Salaam Namaste,2005,"Comedy, Drama, Romance",158,India,"Hindi, English",62.0,9.289939,83.0
Grandma's Boy,2006,Comedy,94,USA,English,70.0,6.5662769999999995,16.0
Church Ball,2006,"Comedy, Sport",91,USA,English,40.0,0.46499100000000004,17.0
Land of the Lost,2009,"Action, Adventure, Comedy",102,USA,English,53.0,68.777554,26.0
Mr. Magorium's Wonder Emporium,2007,"Comedy, Family, Fantasy",93,"USA, Canada",English,62.0,69.474661,38.0
Perfect Stranger,2007,"Crime, Horror, Mystery",109,USA,English,57.0,73.53411700000001,10.0
Nacho Libre,2006,"Comedy, Family, Sport",92,"USA, Mexico","English, Spanish",58.0,99.25546,40.0
Scoop,2006,"Comedy, Crime, Fantasy",96,"UK, USA",English,67.0,39.220946,41.0
The Holiday,2006,"Comedy, Romance",136,USA,English,69.0,205.841885,49.0
Captain America: The First Avenger,2011,"Action, Adventure, Sci-Fi",124,USA,"English, Norwegian, French",69.0,370.569774,80.0
The Devil Wears Prada,2006,"Comedy, Drama",109,"USA, France","English, French",69.0,326.70590200000004,75.0
A Long Way Down,2014,"Comedy, Drama",96,"UK, Germany",English,64.0,7.257942,22.0
"Gandhi, My Father",2007,"Biography, Drama, History",136,India,"Hindi, English, Gujarati, Bengali",73.0,1.983906,47.0
Eklavya,2007,"Action, Drama, Mystery",105,India,Hindi,61.0,8.707875,75.0
Chaos Theory,2008,"Comedy, Drama, Romance",87,USA,English,67.0,0.33843999999999996,31.0
The Fall,2006,"Adventure, Drama, Fantasy",117,"USA, South Africa, India","English, Romanian, Latin",79.0,3.669465,61.0
Fast Food Nation,2006,"Comedy, Drama",116,"UK, USA","English, Spanish",63.0,2.209322,50.0
Enchanted,2007,"Animation, Comedy, Family",107,USA,English,70.0,340.48765199999997,93.0
Code Name: The Cleaner,2007,"Action, Comedy, Crime",84,USA,English,46.0,10.337477,4.0
Daddy Day Camp,2007,"Comedy, Family",89,USA,English,31.0,18.197398,1.0
Flakes,2007,Comedy,84,USA,English,60.0,0.0007779999999999999,22.0
How to Eat Fried Worms,2006,"Comedy, Family",80,USA,English,53.0,13.098996,60.0
Larry the Cable Guy: Health Inspector,2006,"Comedy, Romance",89,USA,English,33.0,15.680099000000002,5.0
The Last Legion,2007,"Action, Adventure, War",101,"UK, France, Slovakia, Tunisia, Italy, Bulgaria",English,54.0,25.303038,15.0
Poultrygeist: Night of the Chicken Dead,2006,"Comedy, Horror, Musical",103,USA,English,61.0,0.022622999999999997,65.0
School for Scoundrels,2006,Comedy,100,USA,English,59.0,24.470582999999998,26.0
The Simpsons Movie,2007,"Animation, Adventure, Comedy",87,USA,English,73.0,536.41427,88.0
The Treatment,2006,"Comedy, Drama, Romance",86,USA,English,58.0,0.083354,68.0
Step Up,2006,"Crime, Drama, Music",104,USA,English,65.0,114.19774199999999,21.0
Descent,2007,"Drama, Thriller",104,USA,"English, Spanish",48.0,0.015233,35.0
"You, Me and Dupree",2006,"Comedy, Romance",110,USA,English,56.0,130.62890299999998,20.0
The Fast and the Furious: Tokyo Drift,2006,"Action, Crime, Thriller",104,"USA, Germany, Japan","English, Japanese, Portuguese",60.0,158.96461,37.0
Freedom Writers,2007,"Biography, Crime, Drama",123,"Germany, USA","English, Spanish",75.0,43.095175,70.0
