original_title,year,genre,duration,country,language,imdb_score,worldwide_gross_income,tomatometer_rating
Willow,1988,"Action, Adventure, Drama",126,USA,English,73.0,57.269863,51.0
Without a Clue,1988,"Comedy, Crime, Mystery",107,UK,English,70.0,8.539181000000001,60.0
Working Girl,1988,"Comedy, Drama, Romance",113,USA,English,68.0,102.956984,84.0
Young Einstein,1988,"Comedy, History",91,Australia,English,52.0,11.536598999999999,36.0
Young Guns,1988,"Action, Western",107,USA,English,69.0,45.661556000000004,41.0
The 'Burbs,1989,"Comedy, Mystery, Thriller",102,USA,English,69.0,49.101993,53.0
Always,1989,"Drama, Fantasy, Romance",122,USA,English,64.0,74.13479,67.0
Back to the Future Part II,1989,"Adventure, Comedy, Sci-Fi",108,USA,English,78.0,335.97302,66.0
"Bert Rigby, You're a Fool",1989,"Comedy, Musical",94,USA,English,60.0,0.075868,40.0
The Big Picture,1989,"Comedy, Drama, Romance",100,USA,English,62.0,0.11746300000000001,87.0
Blaze,1989,"Biography, Drama",120,USA,English,60.0,19.131245999999997,73.0
Born on the Fourth of July,1989,"Biography, Drama, War",145,USA,"English, Spanish",72.0,161.001698,85.0
Casualties of War,1989,"Crime, Drama, War",113,USA,"English, Vietnamese",71.0,18.671317,83.0
Chances Are,1989,"Comedy, Fantasy, Romance",108,USA,English,65.0,16.27859,67.0
Checking Out,1989,Comedy,96,UK,English,47.0,0.030876999999999998,20.0
Cheetah,1989,"Adventure, Drama, Family",83,USA,English,61.0,8.153677,50.0
"The Cook, the Thief, His Wife & Her Lover",1989,"Crime, Drama",124,"Netherlands, UK, France","English, French, Dutch",76.0,7.7247010000000005,85.0
Cookie,1989,"Comedy, Crime",94,USA,English,54.0,1.8694169999999999,15.0
Cousins,1989,"Comedy, Romance",113,USA,English,63.0,22.026369,50.0
Dad,1989,"Comedy, Drama",117,USA,English,63.0,29.23725,60.0
Dead Calm,1989,"Horror, Thriller",96,Australia,English,68.0,7.825009,83.0
Dead Poets Society,1989,"Comedy, Drama",128,USA,"English, Latin",81.0,235.860116,84.0
Dead Bang,1989,"Action, Crime, Drama",102,USA,"English, Turkish",62.0,8.125592000000001,33.0
DeepStar Six,1989,"Action, Horror, Sci-Fi",105,USA,English,54.0,8.143225,9.0
Disorganized Crime,1989,"Action, Comedy, Crime",98,USA,English,64.0,7.723506,50.0
Do the Right Thing,1989,"Comedy, Drama",120,USA,"English, Italian, Spanish, Korean",79.0,37.346892000000004,93.0
The Dream Team,1989,"Comedy, Crime, Thriller",113,USA,English,65.0,28.89024,57.0
Dream a Little Dream,1989,"Comedy, Drama, Romance",114,USA,English,59.0,5.552441,0.0
Drugstore Cowboy,1989,"Crime, Drama",101,USA,English,73.0,4.7293520000000004,100.0
Erik the Viking,1989,"Comedy, Adventure, Fantasy",107,"UK, Sweden","English, Japanese",63.0,1.932642,47.0
Family Business,1989,"Crime, Drama",110,USA,English,58.0,12.195695,38.0
Farewell to the King,1989,"Action, Adventure, Drama",117,USA,English,63.0,2.420917,55.0
Fat Man and Little Boy,1989,"Biography, Drama, History",127,"USA, Mexico",English,65.0,3.5631619999999997,47.0
Field of Dreams,1989,"Drama, Family, Fantasy",107,USA,English,75.0,84.431625,87.0
Fletch Lives,1989,"Comedy, Crime, Mystery",95,USA,English,61.0,39.450959999999995,37.0
Glory,1989,"Biography, Drama, History",122,USA,English,78.0,26.979166,93.0
Gross Anatomy,1989,Drama,109,USA,English,62.0,11.604598,30.0
Halloween 5: The Revenge of Michael Myers,1989,"Horror, Thriller",96,USA,English,52.0,11.642254,13.0
Harlem Nights,1989,"Comedy, Crime, Drama",116,USA,English,61.0,60.864869999999996,21.0
Henry V,1989,"Action, Biography, Drama",137,UK,"English, French",75.0,10.161099,100.0
Her Alibi,1989,"Comedy, Crime, Mystery",94,USA,"English, Romanian, Spanish",58.0,18.699037,17.0
"Honey, I Shrunk the Kids",1989,"Adventure, Comedy, Family",93,"USA, Mexico",English,64.0,222.724172,76.0
The Horror Show,1989,Horror,95,USA,English,50.0,1.7388970000000001,0.0
Immediate Family,1989,Drama,95,"USA, Canada",English,61.0,5.932613,50.0
In Country,1989,"Drama, Romance, War",120,USA,English,58.0,3.531971,68.0
Indiana Jones and the Last Crusade,1989,"Action, Adventure",127,USA,"English, German, Greek, Arabic",82.0,474.310887,88.0
An Innocent Man,1989,"Action, Crime, Drama",113,USA,English,65.0,20.047604,38.0
Jacknife,1989,Drama,102,"USA, Canada",English,63.0,2.049769,64.0
The January Man,1989,"Action, Crime, Mystery",97,USA,English,56.0,4.6110619999999995,25.0
Johnny Handsome,1989,"Crime, Drama, Thriller",94,USA,English,62.0,7.237793999999999,62.0
K-9,1989,"Action, Comedy, Crime",101,USA,English,60.0,78.247647,22.0
Kickboxer,1989,"Action, Sport, Thriller",97,USA,English,65.0,14.697004999999999,36.0
Lean on Me,1989,Drama,108,USA,"English, Spanish, Portuguese",74.0,31.906454000000004,69.0
Let It Ride,1989,"Comedy, Action",90,USA,English,68.0,4.973285,27.0
Lethal Weapon 2,1989,"Action, Crime, Thriller",114,USA,"English, Afrikaans",72.0,227.853986,82.0
Leviathan,1989,"Adventure, Horror, Mystery",98,"USA, Italy",English,58.0,15.704614000000001,24.0
The Little Mermaid,1989,"Animation, Family, Fantasy",83,USA,"English, French",76.0,274.191153,93.0
Little Monsters,1989,"Adventure, Comedy, Family",100,USA,English,61.0,0.793775,44.0
Lock Up,1989,"Action, Crime, Drama",109,USA,English,64.0,22.099847,23.0
Look Who's Talking,1989,Comedy,93,USA,English,59.0,296.999813,56.0
Major League,1989,"Comedy, Sport",107,USA,"English, Spanish, Japanese",72.0,49.797148,83.0
The Mighty Quinn,1989,"Action, Crime, Drama",98,USA,English,60.0,4.557214,88.0
