imdb_title_id,original_title,year,date_published,genre,duration,country,language,imdb_score,budget,worldwide_gross_income
tt0104225,Falling from Grace,1992,1992-02-21,"Drama, Music",100,USA,English,5.6,3000000,2.31826
tt0104231,Far and Away,1992,1992-05-22,"Adventure, Drama, Romance",140,USA,English,6.6,60000000,1377.8384
tt0104254,FernGully: The Last Rainforest,1992,1992-12-16,"Animation, Adventure, Family",76,"Australia, USA",English,6.5,24000000,327.10894
tt0104257,A Few Good Men,1992,1992-12-11,"Drama, Thriller",138,USA,"English, French",7.7,41000000,2432.40178
tt0104265,Final Analysis,1992,1992-03-27,"Drama, Thriller",124,USA,English,5.9,32000000,285.90665
tt0104283,Folks!,1992,1992-05-01,"Comedy, Drama",107,USA,English,5.8,15000000,61.32924
tt0104299,Freejack,1992,1992-01-17,"Action, Crime, Sci-Fi",110,USA,English,5.4,30000000,171.29026
tt0104346,Gladiator,1992,1992-03-06,"Action, Drama, Sport",101,USA,English,6.5,20000000,92.23441
tt0104348,Glengarry Glen Ross,1992,1992-09-15,"Crime, Drama, Mystery",100,USA,English,7.7,12500000,107.25228
tt0104376,The Gun in Betty Lou's Handbag,1992,1992-08-21,"Comedy, Mystery",89,USA,English,5.1,13000000,37.21911
tt0104377,Guncrazy,1992,1993-09-09,"Crime, Drama, Romance",97,USA,English,5.5,800000,1.14516
tt0104389,The Hand That Rocks the Cradle,1992,1992-01-10,"Drama, Thriller",110,USA,English,6.6,11700000,880.36683
tt0104409,Hellraiser III: Hell on Earth,1992,1993-04-09,Horror,97,"USA, UK",English,5.5,5000000,125.34961
tt0104412,Hero,1992,1993-02-26,"Comedy, Drama, Romance",119,USA,English,6.5,42000000,195.07345
tt0104418,Highway to Hell,1991,1992-03-13,"Adventure, Comedy, Fantasy",94,USA,English,6.0,9000000,0.26055
tt0104427,Hoffa,1992,1993-09-17,"Biography, Crime, Drama",140,USA,"English, Italian, Latin",6.6,35000000,293.02121
tt0104431,Home Alone 2: Lost in New York,1992,1992-12-18,"Adventure, Comedy, Crime",120,USA,"English, French",6.8,28000000,3651.54932
tt0104437,"Honey, I Blew Up the Kid",1992,1992-07-17,"Adventure, Comedy, Family",89,USA,English,4.9,40000000,586.62452
tt0104438,Honeymoon in Vegas,1992,1992-08-28,"Comedy, Romance, Thriller",96,USA,"English, Hawaiian",5.8,25000000,352.08854
tt0104466,Husbands and Wives,1992,1992-10-31,"Comedy, Drama, Romance",108,USA,English,7.5,20000000,105.55619
tt0104511,Innocent Blood,1992,1993-03-18,"Action, Comedy, Crime",112,USA,English,6.2,20000000,49.43279
tt0104549,Jennifer Eight,1992,1993-04-23,"Crime, Drama, Mystery",124,"Canada, USA, UK",English,6.3,20000000,113.90479
tt0104558,Ging chaat goo si III: Chiu kup ging chaat,1992,1997-07-31,"Action, Comedy, Crime",96,Hong Kong,"Cantonese, English, Mandarin, Malay, Thai",6.9,900000,162.706
tt0104567,Johnny Suede,1991,1993-06-11,"Comedy, Drama, Music",97,"Switzerland, France, USA",English,5.8,500000,0.90091
tt0104573,Juice,1992,1992-01-17,"Action, Crime, Drama",95,"USA, UK",English,7.1,5000000,201.4688
tt0104575,Just Another Girl on the I.R.T.,1992,1993-03-19,Drama,92,USA,English,6.4,100000,4.79169
tt0104627,Knight Moves,1992,1992-01-16,"Crime, Drama, Mystery",116,"USA, Germany, Canada",English,6.1,9000000,9.23418
tt0104647,Kuffs,1992,1992-08-28,"Action, Comedy, Crime",102,USA,English,5.9,10000000,211.42815
tt0104691,The Last of the Mohicans,1992,1992-12-23,"Action, Adventure, Drama",112,USA,"English, French, North American Indian",7.7,40000000,755.05856
tt0104692,The Lawnmower Man,1992,1992-03-06,"Horror, Sci-Fi",108,"UK, USA, Japan",English,5.5,10000000,321.00816
tt0104694,A League of Their Own,1992,1992-07-01,"Comedy, Drama, Family",128,USA,English,7.3,40000000,1324.40069
tt0104714,Lethal Weapon 3,1992,1992-10-23,"Action, Crime, Thriller",118,USA,English,6.7,35000000,3217.31527
tt0104740,Little Nemo,1989,1989-07-15,"Animation, Adventure, Comedy",85,"Japan, USA",English,7.2,35000000,13.68
tt0104745,The Living End,1992,1992-08-21,"Comedy, Drama",81,USA,English,6.5,22769,6.92585
tt0104756,Lorenzo's Oil,1992,1993-01-29,Drama,129,USA,"English, Italian",7.3,30000000,72.86388
tt0104765,Love Field,1992,1993-05-21,Drama,105,USA,English,6.5,18000000,10.14726
tt0104779,Bitter Moon,1992,1993-02-04,"Drama, Romance, Thriller",139,"France, UK","English, French",7.2,5000000,18.62805
tt0104797,Malcolm X,1992,1993-03-16,"Biography, Drama, History",202,"USA, Japan",English,7.7,33000000,481.6991
tt0104802,The Mambo Kings,1992,1992-02-28,"Drama, Music",104,"France, USA","English, Spanish",6.4,15500000,67.42168
tt0104804,Man Trouble,1992,1992-07-17,"Comedy, Romance",100,"USA, Italy",English,4.7,30000000,40.9603
tt0104815,El mariachi,1992,1993-09-03,"Action, Crime, Thriller",81,"Mexico, USA",Spanish,6.9,7000,20.4092
tt0104839,Medicine Man,1992,1992-02-07,"Adventure, Drama, Romance",106,USA,English,6.0,40000000,455.00797
tt0104850,Memoirs of an Invisible Man,1992,1992-12-03,"Comedy, Romance, Sci-Fi",99,"USA, France",English,6.0,40000000,143.58033
tt0104868,The Mighty Ducks,1992,1992-10-02,"Comedy, Drama, Family",104,USA,English,6.5,10000000,507.52337
tt0104897,Mo' Money,1992,1992-07-24,"Action, Comedy, Crime",89,USA,English,5.6,15000000,402.27006
tt0104905,Mom and Dad Save the World,1992,1992-07-24,"Adventure, Comedy, Family",88,USA,English,5.4,14000000,20.3447
tt0104926,Mr. Baseball,1992,1992-10-02,"Comedy, Romance, Sport",108,"USA, Japan","English, Japanese",6.0,40000000,208.83046
tt0104928,Mr. Saturday Night,1992,1993-05-21,"Comedy, Drama",119,USA,English,5.9,43000000,133.51357
tt0104940,The Muppet Christmas Carol,1992,1993-12-23,"Comedy, Drama, Family",85,"USA, UK",English,7.7,12000000,323.19318
tt0104952,My Cousin Vinny,1992,1992-08-18,"Comedy, Crime",120,USA,English,7.6,11000000,640.88552
tt0104990,Newsies,1992,1992-04-10,"Drama, Family, History",121,USA,English,7.0,15000000,28.19485
tt0105001,Night and the City,1992,1993-03-05,"Comedy, Crime, Drama",105,USA,English,5.8,20000000,62.02756
tt0105017,Noises Off...,1992,1992-03-20,Comedy,101,USA,English,7.6,12000000,22.80148
tt0105063,The Opposite Sex and How to Live with Them,1992,1993-03-26,"Comedy, Romance",86,USA,English,4.9,3000000,6.90966
tt0105104,Passenger 57,1992,1993-04-29,"Action, Crime, Thriller",84,USA,English,5.9,15000000,440.65653
tt0105107,Passion Fish,1992,1992-12-11,Drama,135,USA,English,7.4,3330000,48.14619
tt0105112,Patriot Games,1992,1992-10-09,"Action, Thriller",117,USA,English,6.9,45000000,1780.51587
tt0105121,The People Under the Stairs,1991,1991-11-01,"Comedy, Horror, Mystery",102,USA,English,6.4,6000000,313.47154
tt0105128,Pet Sematary II,1992,1993-08-13,"Fantasy, Horror",100,USA,English,4.9,8000000,170.92453
tt0105130,Peter's Friends,1992,1992-11-13,"Comedy, Drama, Romance",101,UK,English,7.0,5000000,40.58564
tt0105151,The Player,1992,1992-11-14,"Comedy, Crime, Drama",124,USA,English,7.5,8000000,217.06101
tt0105156,Poison Ivy,1992,1992-05-08,"Drama, Thriller",90,USA,English,5.4,3000000,18.29804
